V1,V2
8.0655562821475,7.6854402184618
3.73729650198852,7.33613445047384
5.8119798123118,2.75675727005052
6.41512380511048,9.13333118731834
5.90397145169312,3.50904933242827
4.76269836794017,5.23593605721693
8.37986593575973,4.05580714424212
4.78833595542355,4.7264166984499
9.51333263162665,5.42081241803731
4.85976701137113,5.2664520023453
7.91777724862036,4.94389135053162
10.1130945385164,5.24165796619223
1.89441306103479,3.91453381397321
4.37660936603302,3.87253622036195
4.70188442897266,1.28566953994812
6.42202832040274,4.14507579661931
4.36439114491076,3.85367917470244
-0.940014900340895,11.0416119445659
-0.457049949134985,1.95421551380397
7.95186317905739,5.30691423503161
4.31433525911557,1.66015281658308
1.01687325272702,1.71200572560202
4.61558110600947,5.27884301249294
7.71609519789904,2.77144714536271
9.23778140990158,4.99592451051791
4.03744175951323,4.04238402916385
4.42472817159926,3.62778857211743
1.05744748608622,0.472682705105064
6.02880896167056,2.26138032769153
3.56892795210163,5.40141096541855
6.01841743592802,6.26923823455986
6.57606419912358,3.89789273288423
7.31456183887419,5.00014061304483
3.63839923129692,7.5108575738281
6.12911398128105,8.21961531908823
1.16065187563489,2.54677903479362
3.24589633170137,4.73766548819022
3.0973127768505,7.68663209931375
-0.398332417080685,3.94965272681129
5.08077260453559,4.882674664932
5.46062687331757,4.80745822778302
4.19265133667275,3.01508937376097
6.69530453306532,4.00565633657088
3.37503860707955,4.93415924876944
1.94043057235405,4.07456111973688
5.96781052777444,7.48960683344947
3.18566970156714,3.9244673093709
8.22910858760194,4.03140459735695
4.03525696232241,6.55823209214615
6.46607323659119,2.63788841886627
5.71984677667067,4.9089954429813
3.24728284478004,1.53064030709295
8.52343384827201,7.60987045335877
6.43756655027134,4.38810960997695
5.20071090750105,3.95386605107738
5.61838627017208,2.23118362132546
6.51893596905494,4.98264356483025
5.20087244100586,3.21051464891851
-1.69275288871046,3.80707488475608
5.63701764972547,7.87932938207088
4.17883837513833,4.6075122223288
5.41418813455019,2.6034217319523
6.30099740531158,5.36494168359289
8.12990669643631,4.18889224460533
3.37372551551928,6.31931040094552
7.9125738688422,8.20299280286778
5.75097922588113,2.78027206440421
7.32217023173599,6.01662897138002
7.05881166752394,5.18983783036286
6.61193257566547,7.0025455202527
2.66751514474485,4.48620046157276
4.79833710889338,6.87073710835048
6.39422899543671,1.09793646951671
2.86785695388719,8.77774499325017
3.78619787046723,6.93370234541239
6.29914766350554,4.66285463947672
6.71769987666814,1.75992155712694
6.03701585373697,6.43781116341764
3.01934398613389,6.0804543258006
2.54081515026759,4.98578838728218
8.38251570396426,5.33866567203331
5.57672986717609,3.69389263603043
5.19775836434649,5.82467692472081
4.72966712381824,5.65886713347815
2.32939940292884,4.37555705785201
6.36846666603731,2.01208400563198
4.51446054428696,6.56692199318458
4.59134358129786,6.23922132030551
7.08702583723497,3.1299616084648
6.83754053717789,1.43439247363759
8.11286684917968,5.45830131876582
3.93524273893699,4.22835982303467
6.45422359085317,5.56485694063493
8.1106175446988,2.10652252412421
2.51620055690368,2.85522968435683
3.07520926121325,7.42786638108815
2.46935537684503,5.90286813455284
1.7370983033933,6.31142600006075
5.17884642606123,9.05897420029155
6.46060930665345,5.28805347131356
